Li2O,B2O3,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Fe2O3,ZnO,SrO,Y2O3,ZrO,SnO2,BaO,YoungModulus
0,0,0,0,0,66.99967,0,33.00033,0,0,0,0,0,0,0,0,0,54
0,0,16.99967,0,0,66.99967,0,16.00066001,0,0,0,0,0,0,0,0,0,45.1
0,0,33.00033,0,0,66.99967,0,0,0,0,0,0,0,0,0,0,0,60
0,0,32.00031601,0,7.999683994,60,0,0,0,0,0,0,0,0,0,0,0,67.05
0,0,37.19894758,0,0,0,25.64994204,0,34.61941823,2.531692149,0,0,0,0,0,0,0,52.2
0,0,0,8.389169873,27.51768757,5.628323175,0,0,58.46481938,0,0,0,0,0,0,0,0,109
0,0,22.70979855,0,6.699249017,43.05042317,2.430265824,0,25.11026344,0,0,0,0,0,0,0,0,81
0,0,0,9.400593472,31.21958457,0,0,0,51.35905045,0,0,0,0,0,3.080118694,0,4.940652819,111
0,0,30.57920161,0,7.349771057,60.84055827,0,1.230469057,0,0,0,0,0,0,0,0,0,64.4
0,0,0,0,29.99941201,4.001293585,0,0,53.99835362,0,0,0,0,0,0,0,12.00094079,91.7
0,0,0,0,29.99941201,4.001293585,0,0,59.99882401,0,0,0,0,0,0,0,6.000470395,99.9
0,0,0,0,29.99941201,4.001293585,0,0,65.99929441,0,0,0,0,0,0,0,0,99.9
0,0,0,2.998765214,29.99941201,4.001293585,0,0,63.00052919,0,0,0,0,0,0,0,0,102
0,0,0,6.000470395,29.99941201,4.001293585,0,0,59.99882401,0,0,0,0,0,0,0,0,110
0,0,0,8.999235609,29.99941201,4.001293585,0,0,57.0000588,0,0,0,0,0,0,0,0,108
0,0,0,12.00094079,29.99941201,4.001293585,0,0,53.99835362,0,0,0,0,0,0,0,0,102
0,0,31.99931801,0,5.000232497,63.00044949,0,0,0,0,0,0,0,0,0,0,0,63.9
0,0,0,0,35.66023545,0,0,0,59.29916655,0,0,0,0,0,0,0,5.040597995,108
0,0,32.0001848,0,3.999445591,64.00036961,0,0,0,0,0,0,0,0,0,0,0,60.9
0,0,22.4997225,0,0,55.000555,0,0,22.4997225,0,0,0,0,0,0,0,0,87.3
0,0,31.30014515,0,9.509833634,59.19002121,0,0,0,0,0,0,0,0,0,0,0,67.95
0,0,0,8.7810289,32.30902986,0,0,0,53.72946396,0,0,0,0,0,2.869049047,0,2.311428229,113
0,0,24.84962626,0,0,47.0888811,4.010453165,0,24.05103948,0,0,0,0,0,0,0,0,75
0,0,23.0924839,0,0,48.77485897,2.609835318,0,25.52282181,0,0,0,0,0,0,0,0,61
0,0,0,6.900128207,27.10064968,6.79929126,0,0,59.19993085,0,0,0,0,0,0,0,0,109
0,0,31.9998176,0,0,65.9999088,0,0,0,0,2.000273594,0,0,0,0,0,0,63.7
0,0,17.62223943,0,0,49.42451999,0,0,32.95324058,0,0,0,0,0,0,0,0,59
0,0,0,8.910247692,33.1096704,0,0,0,55.06037388,0,0,0,0,0,2.919708029,0,0,113
0,0,31.40044784,0,5.500093301,63.09945885,0,0,0,0,0,0,0,0,0,0,0,63.7
0,0,30.77034254,0,10.58919882,58.64045864,0,0,0,0,0,0,0,0,0,0,0,67.9
0,0,0,0,0,68.00066,0,31.99934,0,0,0,0,0,0,0,0,0,38.7
0,0,0,0,32.00030001,3.999099977,0,0,33.99985,0,0,30.00075002,0,0,0,0,0,108
0,0,0,0,31.99934,3.998980005,0,0,44.00078,0,0,20.0009,0,0,0,0,0,115
0,0,0,0,32.00030001,3.999099977,0,0,49.00022501,0,0,15.00037501,0,0,0,0,0,106
0,0,0,0,32.00030001,3.999099977,0,0,54.00135003,0,0,9.999249981,0,0,0,0,0,106
0,0,0,0,32.00030001,3.999099977,0,0,64.00060002,0,0,0,0,0,0,0,0,99.9
0,0,31.25,0,6.25,62.5,0,0,0,0,0,0,0,0,0,0,0,60.1
0,0,31.99934,0,0,68.00066,0,0,0,0,0,0,0,0,0,0,0,58.5
0,0,21.87986686,0,10.10932299,41.46944758,2.340672428,0,24.20069014,0,0,0,0,0,0,0,0,80.7
0,0,0,0,28.00104764,6.998806856,0,0,58.00133865,0,0,6.998806856,0,0,0,0,0,106
0,0,0,7.010214225,26.69960958,8.030196073,0,0,58.25998012,0,0,0,0,0,0,0,0,110
0,0,0,7.09907175,28.29995913,6.999824858,0,0,57.60114426,0,0,0,0,0,0,0,0,109
0,0,0,0,38.0004396,0,0,0,46.9997174,0,0,0,0,0,0,0,14.999843,103
0,0,0,0,37.99924642,0,0,0,52.0001256,0,0,0,0,0,0,0,10.00062798,102
0,0,0,0,38.0004396,0,0,0,57.0006594,0,0,0,0,0,0,0,4.998900995,105
0,0,0,0,38.0004396,0,0,0,61.9995604,0,0,0,0,0,0,0,0,112
0,0,0,6.90024148,27.09920905,7.900863253,0,0,58.09968622,0,0,0,0,0,0,0,0,103
0,0,0,7.070087865,28.28035146,7.070087865,0,0,57.57947281,0,0,0,0,0,0,0,0,106.5
0,0,0,0,29.99022541,6.229080892,0,0,55.64112437,0,0,0,0,0,0,0,8.139569326,104
0,0,0,0,31.69977792,4.999699898,0,0,63.30052218,0,0,0,0,0,0,0,0,99.8
0,0,30.73068244,0,5.630690219,63.41918917,0,0.219438176,0,0,0,0,0,0,0,0,0,58.2
0,0,0,7.000058799,28.9998236,7.000058799,0,0,57.0000588,0,0,0,0,0,0,0,0,109
0,0,0,0,0,58.80007353,0,23.99994344,0,0,0,0,17.19998303,0,0,0,0,59.1
0,0,0,8.551132958,31.39911282,0,0,0,52.2689126,0,0,0,0,0,5.529912481,0,2.250929145,114
0,0,29.1704764,0,7.639436264,61.85011193,0,1.339975408,0,0,0,0,0,0,0,0,0,62.6
0,0,0,0,28.23035147,8.080453208,0,0,63.68919532,0,0,0,0,0,0,0,0,105
0,0,7.210047462,8.419717972,42.87133972,0,0,0,29.67976286,3.419974984,0,0,0,0,3.43025547,0,4.96890153,111
0,0,0,0,30,7.000297,0,0,62.999703,0,0,0,0,0,0,0,0,100
0,0,16.66933333,0,0,50,0,0,33.33066667,0,0,0,0,0,0,0,0,84.8
0,0,0,0,40,0,0,0,60,0,0,0,0,0,0,0,0,112
0,0,30,0,10,60,0,0,0,0,0,0,0,0,0,0,0,69.55
0,0,7.059611061,8.310876916,43.08885876,0,0,0,29.70082903,3.429395307,0,0,0,0,3.528947323,0,4.881481609,111
0,0,0,8.639680885,32.13060756,5.799072269,0,0,53.43063929,0,0,0,0,0,0,0,0,110
0,0,30.00063601,0,8.999554792,60.9998092,0,0,0,0,0,0,0,0,0,0,0,63.8
0,0,12.04032373,0,0,59.94888542,0,11.98069005,16.03010081,0,0,0,0,0,0,0,0,71
