Li2O,B2O3,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Fe2O3,ZnO,SrO,Y2O3,ZrO,SnO2,BaO,Tliquidus
0,0,41.98438609,0,0,41.90489709,0,0,16.11071682,0,0,0,0,0,0,0,0,1319.15
0,0,0,0,0,0,19.84998564,59.63967844,20.51033592,0,0,0,0,0,0,0,0,2023.15
0,0,50.04050041,0,0,49.95949959,0,0,0,0,0,0,0,0,0,0,0,1362.15
0,0,0,0,0,0,18.35796558,55.14328337,26.49875104,0,0,0,0,0,0,0,0,1973.15
0,0,46.18959923,0,0,46.13113508,0,0,7.67926569,0,0,0,0,0,0,0,0,1304.15
0,0,50.02974803,0,10.7993375,39.17091447,0,0,0,0,0,0,0,0,0,0,0,1498.15
0,0,50.02950699,0,9.499657081,40.47083593,0,0,0,0,0,0,0,0,0,0,0,1343.15
0,0,40.00979912,0,0,39.96920277,0,0,20.02099811,0,0,0,0,0,0,0,0,1432.15
0,0,50.01999508,0,3.809831426,46.1701735,0,0,0,0,0,0,0,0,0,0,0,1308.15
0,0,50.019992,0,16.60002666,33.37998134,0,0,0,0,0,0,0,0,0,0,0,1878.15
0,0,0,1.898913416,0,49.03489291,0,49.06619368,0,0,0,0,0,0,0,0,0,1253.15
0,0,0,20.01063949,0,39.97928099,0,40.01007952,0,0,0,0,0,0,0,0,0,1743.15
0,0,0,0,0,33.3400008,0,33.3600032,0,0,0,33.299996,0,0,0,0,0,1598.15
0,0,10.36060361,0,0,49.98949989,0,39.6498965,0,0,0,0,0,0,0,0,0,1175.15
0,0,50.01034093,0,9.090475206,40.89918386,0,0,0,0,0,0,0,0,0,0,0,1268.15
0,0,50.01025835,0,7.820021148,42.1697205,0,0,0,0,0,0,0,0,0,0,0,1243.15
0,0,50.01050011,0,0,49.98949989,0,0,0,0,0,0,0,0,0,0,0,1362.15
0,0,0,5.590802703,0,47.19944651,0,47.20975078,0,0,0,0,0,0,0,0,0,1493.15
0,0,0,33.34266629,0,33.32400037,0,33.33333333,0,0,0,0,0,0,0,0,0,1813.15
0,0,57.26530881,0,0,35.47431805,7.260373137,0,0,0,0,0,0,0,0,0,0,1306.15
0,0,57.98619179,0,0,34.03259535,7.981212866,0,0,0,0,0,0,0,0,0,0,1311.15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2193.15
0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1653.15
0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2843.15
0,0,0,0,0,0,0,49.99925,0,50.00075,0,0,0,0,0,0,0,1099.15
0,0,0,0,0,0,25,75,0,0,0,0,0,0,0,0,0,1755.15
0,0,0,0,0,33.33333333,0,33.33333333,33.33333333,0,0,0,0,0,0,0,0,1898.15
0,0,0,0,0,50.00075,0,49.99925,0,0,0,0,0,0,0,0,0,1246.15
0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3073.15
0,0,2.500449991,0,0,0,0,47.49955001,0,50,0,0,0,0,0,0,0,1090.15
0,0,4.999475003,0,0,0,0,44.999775,0,50.00075,0,0,0,0,0,0,0,1083.15
0,0,7.5,0,0,0,25,67.5,0,0,0,0,0,0,0,0,0,1569.15
0,0,7.4999625,0,0,0,0,42.4992875,0,50.00075,0,0,0,0,0,0,0,1067.15
0,0,10.00029999,0,0,0,0,39.99970001,0,50,0,0,0,0,0,0,0,1081.15
0,0,15,0,0,0,25,60,0,0,0,0,0,0,0,0,0,1529.15
0,0,12.4994375,0,0,0,0,37.4998125,0,50.00075,0,0,0,0,0,0,0,1110.15
0,0,14.999925,0,0,0,0,34.999325,0,50.00075,0,0,0,0,0,0,0,1128.15
0,0,22.5,0,0,0,25,52.5,0,0,0,0,0,0,0,0,0,1545.15
0,0,17.50015,0,0,0,0,32.49985,0,50,0,0,0,0,0,0,0,1143.15
0,0,26.25,0,0,0,25,48.75,0,0,0,0,0,0,0,0,0,1509.15
0,0,19.9994,0,0,0,0,29.99985,0,50.00075,0,0,0,0,0,0,0,1151.15
0,0,22.4998875,0,0,0,0,27.4993625,0,50.00075,0,0,0,0,0,0,0,1165.15
0,0,30,0,0,0,25,45,0,0,0,0,0,0,0,0,0,1529.15
0,0,25,0,0,0,0,25,0,50,0,0,0,0,0,0,0,1173.15
0,0,33.75,0,0,0,25,41.25,0,0,0,0,0,0,0,0,0,1545.15
0,0,27.4993625,0,0,0,0,22.4998875,0,50.00075,0,0,0,0,0,0,0,1170.15
0,0,37.5,0,0,0,25,37.5,0,0,0,0,0,0,0,0,0,1565.15
0,0,29.99985,0,0,0,0,19.9994,0,50.00075,0,0,0,0,0,0,0,1169.15
0,0,32.49985,0,0,0,0,17.50015,0,50,0,0,0,0,0,0,0,1167.15
0,0,45,0,0,0,25,30,0,0,0,0,0,0,0,0,0,1601.15
0,0,37.4998125,0,0,0,0,12.4994375,0,50.00075,0,0,0,0,0,0,0,1186.15
0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1841.15
0,0,52.5,0,0,0,25,22.5,0,0,0,0,0,0,0,0,0,1649.15
0,0,39.99970001,0,0,0,0,10.00029999,0,50,0,0,0,0,0,0,0,1213.15
0,0,42.4992875,0,0,0,0,7.4999625,0,50.00075,0,0,0,0,0,0,0,1244.15
0,0,44.999775,0,0,0,0,4.999475003,0,50.00075,0,0,0,0,0,0,0,1265.15
0,0,60,0,0,0,25,15,0,0,0,0,0,0,0,0,0,1701.15
0,0,47.49955001,0,0,0,0,2.500449991,0,50,0,0,0,0,0,0,0,1285.15
0,0,49.99925,0,0,0,0,0,0,50.00075,0,0,0,0,0,0,0,1294.15
0,0,49.99925,0,0,48.2997585,0,0,0,0,0,0,0,0,1.700991495,0,0,1347.15
0,0,49.99925,0,0,50.00075,0,0,0,0,0,0,0,0,0,0,0,1361.15
0,0,53.27092563,0,0,43.45893145,3.270142922,0,0,0,0,0,0,0,0,0,0,1338.15
0,0,55.74935401,0,0,38.50129199,5.749354005,0,0,0,0,0,0,0,0,0,0,1324.15
0,0,58.68117155,0,0,32.63933054,8.679497908,0,0,0,0,0,0,0,0,0,0,1413.15
0,0,61.23941427,0,0,27.52030908,11.24027665,0,0,0,0,0,0,0,0,0,0,1511.15
0,0,63.77097204,0,0,22.45894363,13.77008433,0,0,0,0,0,0,0,0,0,0,1548.15
0,0,65.27995955,0,0,19.43917809,15.28086236,0,0,0,0,0,0,0,0,0,0,1581.15
0,0,71.42967349,0,0,7.139688723,21.43063779,0,0,0,0,0,0,0,0,0,0,1732.15
0,0,75,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1856.15
0,0,67.10388151,0,0,15.78763149,17.108487,0,0,0,0,0,0,0,0,0,0,1616.15
0,0,57.62328133,0,0,34.74682708,7.629891592,0,0,0,0,0,0,0,0,0,0,1306.15
0,0,45.45428098,0,0,45.4746458,0,0,9.071073226,0,0,0,0,0,0,0,0,1285.15
0,0,49.98016345,0,8.689994446,41.3298421,0,0,0,0,0,0,0,0,0,0,0,1263.15
0,0,49.97042004,0,14.32984947,35.69973049,0,0,0,0,0,0,0,0,0,0,0,1783.15
0,0,49.9501385,0,8.289671547,41.76018995,0,0,0,0,0,0,0,0,0,0,0,1253.15
0,0,0,0,0,0,25.05052526,74.94947474,0,0,0,0,0,0,0,0,0,1855.15
0,0,49.92056029,0,12.12022956,37.95921014,0,0,0,0,0,0,0,0,0,0,0,1613.15
0,0,49.8192509,0,0,50.1807491,0,0,0,0,0,0,0,0,0,0,0,1359.15
0,0,47.57950112,0,0,47.96961816,0,0,4.450880719,0,0,0,0,0,0,0,0,1338.15
0,0,59.45605867,0,0,0,20.0122234,0,20.53171793,0,0,0,0,0,0,0,0,2078.15
0,0,48.27115019,0,0,48.77911122,0,0,0,0,0,0,2.949738593,0,0,0,0,1353.15
