Li2O,B2O3,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Fe2O3,ZnO,SrO,Y2O3,ZrO,SnO2,BaO,Density293K
0,0,41.700417,0,0,58.299583,0,0,0,0,0,0,0,0,0,0,0,2.533
0,0,39.12031581,0,0,55.47961348,0,0,5.400070705,0,0,0,0,0,0,0,0,2.616
0,0,39.24916689,0,0,55.66073904,0,0,0,0,0,0,0,0,0,0,5.090094075,2.8
0,0,39.50980247,0,0,55.96938851,0,0,4.520809018,0,0,0,0,0,0,0,0,2.671
0,0,39.34975428,4.84068537,0,55.80956035,0,0,0,0,0,0,0,0,0,0,0,2.519
0,0,41.29968278,0,5.500093301,53.20022392,0,0,0,0,0,0,0,0,0,0,0,2.471
0,0,0,0,0,39.99894,0,25,0,0,0,35.00106,0,0,0,0,0,3.17
0,0,39.01971199,0,0,56.06999528,0,0,0,0,0,0,4.910292729,0,0,0,0,2.637
0,0,41.33441334,0,0,42.63342633,0,0,0,16.03216032,0,0,0,0,0,0,0,2.68
0,0,16.000682,0,30.00031,3.999007998,0,0,50,0,0,0,0,0,0,0,0,2.75
0,0,41.000682,0,0,53.999008,0,0,0,0,5.000310001,0,0,0,0,0,0,2.642
0,0,14.00984579,0,0,43.96061686,0,14.00984579,14.00984579,0,0,0,0,0,0,0,14.00984579,3.3
0,0,37.38706523,0,0,54.52395896,0,0,8.088975815,0,0,0,0,0,0,0,0,2.587
0,0,33.35033508,0,0,50.01062609,0,0,16.63903883,0,0,0,0,0,0,0,0,2.663
0,0,0,0,0,22.2213827,0,0,0,0,77.7786173,0,0,0,0,0,0,4.19
0,0,39.99898001,0,20.00034,40.00067999,0,0,0,0,0,0,0,0,0,0,0,2.552
0,0,33.3295556,0,0,49.99929167,0,0,16.67115273,0,0,0,0,0,0,0,0,2.654
0,0,41.05945191,0,1.740463112,57.20008497,0,0,0,0,0,0,0,0,0,0,0,2.536
0,0,41.100411,0,0,58.899589,0,0,0,0,0,0,0,0,0,0,0,2.535
0,0,40,0,15.00041251,44.99958749,0,0,0,0,0,0,0,0,0,0,0,2.55
0,0,40.30055736,0,9.700241149,49.99920149,0,0,0,0,0,0,0,0,0,0,0,2.548
0,0,40.78929605,0,0,47.3397633,0,0,0,11.87094065,0,0,0,0,0,0,0,2.64
0,0,40.41043554,0,5.939775757,53.6497887,0,0,0,0,0,0,0,0,0,0,0,2.541
0,0,0,0,10,50,0,40,0,0,0,0,0,0,0,0,0,2.517
0,0,40,0,10,50,0,0,0,0,0,0,0,0,0,0,0,2.545
0,0,39.32975353,0,0,58.15942525,0,0,0,0,0,0,2.510821223,0,0,0,0,2.56
0,0,39.25071017,0,0,58.20009816,0,0,0,0,0,0,0,0,0,0,2.549191665,2.6
0,0,39.27052033,0,0,58.23044655,0,0,2.499033112,0,0,0,0,0,0,0,0,2.58
0,0,39.31016011,2.398666746,0,58.29117314,0,0,0,0,0,0,0,0,0,0,0,2.23
0,0,32.4101447,0,0,50.48870532,0,0,17.10114998,0,0,0,0,0,0,0,0,2.67
0,0,39.90590183,0,3.540175629,55.98381634,0,0,0.570106205,0,0,0,0,0,0,0,0,2.528
0,0,40.399298,0,0,59.600702,0,0,0,0,0,0,0,0,0,0,0,2.535
0,0,39.99938,0,0,55.00031,0,0,0,0,0,0,0,5.000310001,0,0,0,2.77
0,0,39.99938,0,5.000310001,55.00031,0,0,0,0,0,0,0,0,0,0,0,2.536
0,0,40.27029865,0,0,59.72970135,0,0,0,0,0,0,0,0,0,0,0,2.527
0,0,0,0,0,7.010964945,0,40.24929875,0,52.7397363,0,0,0,0,0,0,0,2.732
0,0,11.50019106,0,31.39931219,0,0,0,48,0,0,0,0,0,0,0,9.100496752,3.186
0,0,40.21029895,0,0,59.78970105,0,0,0,0,0,0,0,0,0,0,0,2.529
0,0,40.08218603,0,0,59.86382315,0,0,0.053990822,0,0,0,0,0,0,0,0,2.519
0,0,40.09059004,0,0,59.87941326,0,0,0,0,0,0,0.0299967,0,0,0,0,2.519
0,0,40.0392998,0,0,59.9607002,0,0,0,0,0,0,0,0,0,0,0,2.521
0,0,0,0,0,59.9997,0,40.0003,0,0,0,0,0,0,0,0,0,2.4935
0,0,40.0003,0,0,29.99985,0,0,0,29.99985,0,0,0,0,0,0,0,2.89
0,0,40.0003,0,0,39.99880001,0,0,0,20.0009,0,0,0,0,0,0,0,2.755
0,0,40.0003,0,0,44.999775,0,0,0,14.999925,0,0,0,0,0,0,0,2.706
0,0,40.0003,0,0,50.00075,0,0,0,9.998950005,0,0,0,0,0,0,0,2.647
0,0,40.0003,0,0,54.99872501,0,0,0,0,0,0,0,0,5.000974995,0,0,2.679
0,0,40.0003,0,0,54.99872501,0,0,0,5.000974995,0,0,0,0,0,0,0,2.59
0,0,40.0003,0,0,59.9997,0,0,0,0,0,0,0,0,0,0,0,2.52
0,0,40.00150049,0,0,59.99849951,0,0,0,0,0,0,0,0,0,0,0,2.545
0,0,39.28920195,0,10.09045065,50.62034739,0,0,0,0,0,0,0,0,0,0,0,2.596
0,0,39.93032091,0,0,59.89998648,0,0,0,0,0.169692601,0,0,0,0,0,0,2.53
0,0,35.67011509,0,0,55.3406958,0,0,0,0,0,0,0,0,0,0,8.989189111,2.87
0,0,39.60195876,0,0,59.4036869,0,0,0,0.994354344,0,0,0,0,0,0,0,2.55
0,0,39.799301,0,0,52.199739,0,0,0,0,0,0,0,0,8.000959995,0,0,2.804
0,0,39.26950712,0,7.569645783,53.16084709,0,0,0,0,0,0,0,0,0,0,0,2.579
0,0,39.7552049,0,0,56.38387232,0,0,0,3.860922782,0,0,0,0,0,0,0,2.53
0,0,39.0005152,0,10.9994848,50,0,0,0,0,0,0,0,0,0,0,0,2.548
0,0,0,0,0,54.50075916,0,34.7003109,0,0,0,0,10.79892994,0,0,0,0,2.727
0,0,29.36708143,0,0,41.07593322,2.599132678,0,26.95785267,0,0,0,0,0,0,0,0,2.79
0,0,0,0,0,55.00101499,0,34.999855,0,0,0,9.999130006,0,0,0,0,0,2.66
0,0,34.999855,0,0,55.00101499,0,0,0,0,0,9.999130006,0,0,0,0,0,2.71
0,0,39.5703957,0,0,60.4296043,0,0,0,0,0,0,0,0,0,0,0,2.525
0,0,0,0,0,13.78172437,0,39.56320874,0,46.6550669,0,0,0,0,0,0,0,2.726
0,0,39.55030225,0,0,60.44969775,0,0,0,0,0,0,0,0,0,0,0,2.5235
0,0,38.8,0,0,51.2,0,0,0,0,10,0,0,0,0,0,0,2.745
0,0,39.2796513,0,2.939512121,57.78083658,0,0,0,0,0,0,0,0,0,0,0,2.53
0,0,39.26332647,0,2.519637001,58.21703653,0,0,0,0,0,0,0,0,0,0,0,2.558
